continent,location,population,population_density,median_age,aged_65_older,life_expectancy,gdp_per_capita,extreme_poverty
Asia,Afghanistan,39835428,54.422,18.6,2.581,64.83,1803.987,NA
NA,Africa,1373486472,NA,NA,NA,NA,NA,NA
Europe,Albania,2872934,104.871,38,13.188,78.57,11803.431,1.1
Africa,Algeria,44616626,17.348,29.1,6.211,76.88,13913.839,0.5
Europe,Andorra,77354,163.755,NA,NA,83.73,NA,NA
Africa,Angola,33933611,23.89,16.8,2.405,61.15,5819.495,NA
North America,Anguilla,15125,NA,NA,NA,81.88,NA,NA
North America,Antigua and Barbuda,98728,231.845,32.1,6.933,77.02,21490.943,NA
South America,Argentina,45605823,16.177,31.9,11.198,76.67,18933.907,0.6
Asia,Armenia,2968128,102.931,35.7,11.232,75.09,8787.58,1.8
North America,Aruba,107195,584.8,41.2,13.085,76.29,35973.781,NA
NA,Asia,4678444992,NA,NA,NA,NA,NA,NA
Oceania,Australia,25788217,3.202,37.9,15.504,83.44,44648.71,0.5
Europe,Austria,9043072,106.749,44.4,19.202,81.54,45436.686,0.7
Asia,Azerbaijan,10223344,119.309,32.4,6.018,73,15847.419,NA
North America,Bahamas,396914,39.497,34.3,8.996,73.92,27717.847,NA
Asia,Bahrain,1748295,1935.907,32.4,2.372,77.29,43290.705,NA
Asia,Bangladesh,166303494,1265.036,27.5,5.098,72.59,3523.984,14.8
North America,Barbados,287708,664.463,39.8,14.952,79.19,16978.068,NA
Europe,Belarus,9442867,46.858,40.3,14.799,74.79,17167.967,NA
Europe,Belgium,11632334,375.564,41.8,18.571,81.63,42658.576,0.2
North America,Belize,404915,16.426,25,3.853,74.62,7824.362,NA
Africa,Benin,12451031,99.11,18.8,3.244,61.77,2064.236,49.6
North America,Bermuda,62092,1308.82,NA,NA,82.59,50669.315,NA
Asia,Bhutan,779900,21.188,28.6,4.885,71.78,8708.597,1.5
South America,Bolivia,11832936,10.202,25.4,6.704,71.51,6885.829,7.1
North America,Bonaire Sint Eustatius and Saba,26445,NA,NA,NA,77.79,NA,NA
Europe,Bosnia and Herzegovina,3263459,68.496,42.5,16.569,77.4,11713.895,0.2
Africa,Botswana,2397240,4.044,25.8,3.941,69.59,15807.374,NA
South America,Brazil,213993441,25.04,33.5,8.552,75.88,14103.452,3.4
North America,British Virgin Islands,30423,207.973,NA,NA,79.07,NA,NA
Asia,Brunei,441532,81.347,32.4,4.591,75.86,71809.251,NA
Europe,Bulgaria,6896655,65.18,44.7,20.801,75.05,18563.307,1.5
Africa,Burkina Faso,21497097,70.151,17.6,2.409,61.58,1703.102,43.7
Africa,Burundi,12255429,423.062,17.5,2.562,61.58,702.225,71.7
Asia,Cambodia,16946446,90.672,25.6,4.412,69.82,3645.07,NA
Africa,Cameroon,27224262,50.885,18.8,3.165,59.29,3364.926,23.8
North America,Canada,38067913,4.037,41.4,16.984,82.43,44017.591,0.5
Africa,Cape Verde,561901,135.58,25.7,4.46,72.98,6222.554,NA
North America,Cayman Islands,66498,256.496,NA,NA,83.92,49903.029,NA
Africa,Central African Republic,4919987,7.479,18.3,3.655,53.28,661.24,NA
Africa,Chad,16914985,11.833,16.7,2.486,54.24,1768.153,38.4
South America,Chile,19212362,24.282,35.4,11.087,80.18,22767.037,1.3
Asia,China,1444216102,147.674,38.7,10.641,76.91,15308.712,0.7
South America,Colombia,51265841,44.223,32.2,7.646,77.29,13254.949,4.5
Africa,Comoros,888456,437.352,20.4,2.963,64.32,1413.89,18.1
Africa,Congo,5657017,15.405,19,3.402,64.57,4881.406,37
Oceania,Cook Islands,17572,NA,NA,NA,76.25,NA,NA
North America,Costa Rica,5139053,96.079,33.6,9.468,80.28,15524.995,1.3
Africa,Cote d'Ivoire,27053629,76.399,18.7,2.933,57.78,3601.006,28.2
Europe,Croatia,4081657,73.726,44,19.724,78.49,22669.797,0.7
North America,Cuba,11317498,110.408,43.1,14.738,78.8,NA,NA
North America,Curacao,164796,362.644,41.7,16.367,78.88,NA,NA
Europe,Cyprus,896005,127.657,37.3,13.416,80.98,32415.132,NA
Europe,Czechia,10724553,137.176,43.3,19.027,79.38,32605.906,NA
Africa,Democratic Republic of Congo,92377986,35.879,17,3.02,60.68,808.133,77.1
Europe,Denmark,5813302,136.52,42.3,19.677,80.9,46682.515,0.2
Africa,Djibouti,1002197,41.285,25.4,4.213,67.11,2705.406,22.5
North America,Dominica,72172,98.567,NA,NA,75,9673.367,NA
North America,Dominican Republic,10953714,222.873,27.6,6.981,74.08,14600.861,1.6
South America,Ecuador,17888474,66.939,28.1,7.104,77.01,10581.936,3.6
Africa,Egypt,104258327,97.999,25.3,5.159,71.99,10550.206,1.3
North America,El Salvador,6518500,307.811,27.6,8.273,73.32,7292.458,2.2
Africa,Equatorial Guinea,1449891,45.194,22.4,2.846,58.74,22604.873,NA
Africa,Eritrea,3601462,44.304,19.3,3.607,66.32,1510.459,NA
Europe,Estonia,1325188,31.033,42.7,19.452,78.74,29481.252,0.5
Africa,Eswatini,1172369,79.492,21.5,3.163,60.19,7738.975,NA
Africa,Ethiopia,117876226,104.957,19.8,3.526,66.6,1729.927,26.7
NA,Europe,748962983,NA,NA,NA,NA,NA,NA
NA,European Union,447189915,NA,NA,NA,NA,NA,NA
Europe,Faeroe Islands,49053,35.308,NA,NA,80.67,NA,NA
South America,Falkland Islands,3528,NA,NA,NA,81.44,NA,NA
Oceania,Fiji,902899,49.562,28.6,6.224,67.44,8702.975,1.4
Europe,Finland,5548361,18.136,42.8,21.228,81.91,40585.721,NA
Europe,France,67564251,122.578,42,19.718,82.66,38605.671,NA
Oceania,French Polynesia,282534,77.324,32.7,7.775,77.66,NA,NA
Africa,Gabon,2278829,7.859,23.1,4.45,66.47,16562.413,3.4
Africa,Gambia,2486937,207.566,17.5,2.339,62.05,1561.767,10.1
Asia,Georgia,3979773,65.032,38.7,14.864,73.77,9745.079,4.2
Europe,Germany,83900471,237.016,46.6,21.453,81.33,45229.245,NA
Africa,Ghana,31732128,126.719,21.1,3.385,64.07,4227.63,12
Europe,Gibraltar,33691,3457.1,NA,NA,79.93,NA,NA
Europe,Greece,10370747,83.479,45.3,20.396,82.24,24574.382,1.5
North America,Greenland,56868,0.137,NA,NA,71.7,NA,NA
North America,Grenada,113015,317.132,29.4,7.304,72.4,13593.877,NA
North America,Guatemala,18249868,157.834,22.9,4.694,74.3,7423.808,8.7
Europe,Guernsey,63385,NA,NA,NA,NA,NA,NA
Africa,Guinea,13497237,51.755,19,3.135,61.6,1998.926,35.3
Africa,Guinea-Bissau,2015490,66.191,19.4,3.002,58.32,1548.675,67.1
South America,Guyana,790329,3.952,26.3,5.305,69.91,7435.047,NA
North America,Haiti,11541683,398.448,24.3,4.8,64,1653.173,23.5
NA,High income,1214930230,NA,NA,NA,NA,NA,NA
North America,Honduras,10062994,82.805,24.9,4.652,75.27,4541.795,16
Asia,Hong Kong,7552800,7039.714,44.8,16.303,84.86,56054.92,NA
Europe,Hungary,9634162,108.043,43.4,18.577,76.88,26777.561,0.5
Europe,Iceland,343360,3.404,37.3,14.431,82.99,46482.958,0.2
Asia,India,1393409033,450.419,28.2,5.989,69.66,6426.674,21.2
Asia,Indonesia,276361788,145.725,29.3,5.319,71.72,11188.744,5.7
NA,International,NA,NA,NA,NA,NA,NA,NA
Asia,Iran,85028760,49.831,32.4,5.44,76.68,19082.62,0.2
Asia,Iraq,41179351,88.125,20,3.186,70.6,15663.986,2.5
Europe,Ireland,4982904,69.874,38.7,13.928,82.3,67335.293,0.2
