Suburb,Price,YearBuilt,MetroRegion,MultipleBath,WithinTenCBD
Collingwood,1230000,1920,Northern,Yes,Yes
Carlton,1616000,1890,Northern,No,Yes
Carlton,2705000,,Northern,Yes,Yes
Southern Melbourne,930000,1900,Southern,No,Yes
Southern Melbourne,1720000,,Southern,No,Yes
Abbotsford,1290000,1950,Northern,No,Yes
Abbotsford,1290000,,Northern,Yes,Yes
Richmond,1540000,,Northern,No,Yes
Richmond,1555000,1900,Northern,Yes,Yes
Richmond,1361000,,Northern,Yes,Yes
Melbourne,1630000,,Northern,Yes,Yes
Albert Park,1340000,,Southern,No,Yes
Albert Park,1801000,,Southern,No,Yes
Southern Yarra,1800000,1900,Southern,Yes,Yes
Albert Park,4735000,1910,Southern,Yes,Yes
Southern Yarra,1400000,2005,Southern,Yes,Yes
Clifton Hill,1430000,1910,Northern,No,Yes
Clifton Hill,1506000,1995,Northern,Yes,Yes
Fitzroy Northern,1600000,,Northern,No,Yes
Burnley,1435000,1890,Northern,No,Yes
Port Melbourne,1655000,,Southern,No,Yes
Port Melbourne,1400000,1934,Southern,No,Yes
Port Melbourne,1520000,2016,Southern,Yes,Yes
Middle Park,1920000,1910,Southern,No,Yes
Kensington,868000,2000,Northern,No,Yes
Kensington,1335000,,Northern,No,Yes
Prahran,1582000,1915,Southern,No,Yes
Prahran,1720000,1999,Southern,Yes,Yes
Prahran,1050000,1995,Southern,Yes,Yes
Hawthorn,1535000,,Southern,No,Yes
Hawthorn,2410000,1890,Southern,Yes,Yes
Toorak,1900000,,Southern,Yes,Yes
Toorak,3260000,,Southern,Yes,Yes
Windsor,1325000,,Southern,No,Yes
Brunswick,1260000,1925,Northern,No,Yes
Brunswick,1105000,,Northern,No,Yes
Brunswick,1020000,,Northern,No,Yes
Brunswick,1510000,1920,Northern,No,Yes
Brunswick,810000,,Northern,Yes,Yes
Northerncote,1300000,,Northern,Yes,Yes
Kew,1668000,,Southern,Yes,Yes
Kew,2425000,1890,Southern,Yes,Yes
Kew,2850000,1890,Southern,Yes,Yes
Ascot Vale,1440000,1900,Western,No,Yes
Ascot Vale,1345000,1920,Western,No,Yes
Brunswick Western,1700000,1920,Northern,Yes,Yes
Ascot Vale,1381500,1900,Western,Yes,Yes
St Kilda,1435000,,Southern,No,Yes
Armadale,1285000,1920,Southern,No,Yes
Armadale,3660000,,Southern,Yes,Yes
Footscray,950000,1940,Western,No,Yes
Footscray,740000,1910,Western,No,Yes
Footscray,850000,1930,Western,No,Yes
Thornbury,1430000,,Northern,No,Yes
Thornbury,1211000,1915,Northern,No,Yes
Thornbury,1280000,1910,Northern,No,Yes
Thornbury,1478000,1900,Northern,Yes,Yes
Thornbury,1280000,,Northern,Yes,Yes
Thornbury,1913000,1930,Northern,Yes,Yes
Balaclava,981000,1930,Southern,No,Yes
Seddon,1032000,1900,Western,No,Yes
Balaclava,1690000,1890,Southern,Yes,Yes
Moonee Ponds,860000,1920,Western,No,Yes
Moonee Ponds,1260000,,Western,Yes,Yes
Moonee Ponds,1505000,1910,Western,Yes,Yes
Yarraville,1035000,,Western,No,Yes
Yarraville,767000,1920,Western,No,Yes
Yarraville,951000,,Western,No,Yes
Yarraville,740000,,Western,No,Yes
Yarraville,1275000,1910,Western,No,Yes
Yarraville,1028000,,Western,Yes,Yes
Yarraville,1450000,2016,Western,Yes,Yes
Yarraville,1430000,1940,Western,Yes,Yes
Malvern,1965000,1890,Southern,Yes,Yes
Malvern,2325000,,Southern,Yes,Yes
Malvern,3470000,1915,Southern,Yes,Yes
Malvern,2325000,2006,Southern,Yes,Yes
Elwood,1675000,,Southern,No,Yes
Spotswood,775000,,Western,No,Yes
Elwood,1238000,1996,Southern,Yes,Yes
Elwood,1561000,,Southern,Yes,Yes
Spotswood,1161000,2000,Western,Yes,Yes
Coburg,700000,2000,Northern,No,Yes
Coburg,845000,1980,Northern,No,Yes
Coburg,1075000,1925,Northern,No,Yes
Coburg,1025000,1950,Northern,No,Yes
Coburg,967000,,Northern,No,Yes
Coburg,1130000,1945,Northern,No,Yes
Coburg,835000,,Northern,No,Yes
Camberwell,2105000,1940,Southern,No,Yes
Camberwell,1470000,,Southern,No,Yes
Coburg,635000,1920,Northern,Yes,Yes
Coburg,1461000,,Northern,Yes,Yes
Coburg,1020000,1985,Northern,Yes,Yes
